БИК   ; ; ; ; ; ; ;Номер исполнителя ; ; ;
; ; ; ; ; ; ; ; ; ;
Текущий (расчетный) счет № BY09DEMO30100000000000270000 с  по ; ; ; ; ; ; ; ; ; ;
Код валюты: 933 ; ; ; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ;
ВХОДЯЩИЙ ОСТАТОК  ПАССИВ; ; ; ; ; ; ;1 000.00; ; ;
 ; ; ; ; ; ; ; ; ; ;
 ; ; ; ;КОРРЕСПОНДЕНТ; ; ; ; ; ; ;
Дата операции;Код операции;Номер документа;Бик банка-корр.;УНП;Номер счета;Код платежа в бюджет;Сумма операции;Наименование корреспондента;Назначение платежа;
 ; ; ; ; ; ; ; ДЕБЕТ; ; ;
11.09.2026;1;2312;DEMOBY2X ;;BY21DEMO30100000000000270000;;10 000.00;ДЕМОКЛИЕНТ ИВАН ИВАНОВИЧ;OTHR 130601 ПЕРЕЧИСЛЯЕТСЯ ЛИЧНЫЙ ДОХОД ИП ЗА 3 КВАРТАЛ 2026 БЕЗ НДС;
10.09.2026;6;40;DEMOBY2X ;100000000;BY45DEMO81010000000000270000;;8.70;ЗАО "ДЕМОБАНК";  2.1.3 Вознаграждение за исполнение платежной инструкции клиента 08.09.2026 Без НДС;
 ; ; ; ; ; ; ; ; ; ;
ИТОГО ОБОРОТ ПО ДЕБЕТУ; ; ; ; ; ; ;10 008.70; ; ;
 ; ; ; ; ; ; ; КРЕДИТ; ; ;
09.09.2026;1;3225;DEMOBY2X ;190000001;BY51DEMO30120000000000000933;;110.00;ООО "ДЕМОПАРТНЕР";OTHR 121101 ОПЛАТА ПО СЧЕТУ 38/52 ОТ 01.09.2026;
01.09.2026;1;4546;DEMOBY2X ;190000002;BY36DEMO21200000000000000933;;4 580.00;ООО "ДЕМОСЕРВИС";OTHR 121101 ОПЛАТА ЗА УСЛУГИ СОГЛАСНО СЧЕТА N14/38 ОТ 17.08.2026. БЕЗ НДС;

ИТОГО ОБОРОТ ПО КРЕДИТУ; ; ; ; ; ; ;4 690.00;
ИСХОДЯЩИЙ ОСТАТОК ПАССИВ; ; ; ; ; ; ;-4 318.70; ;
 ; ; ; ; ; ; ; ; ; ;
